user1,workstation2,(v33.0),(licserver/7788,10603),start,Tue,4/14,3:49
user3,workstation5,workstation5,(v35.0),(licserver/7788,1246),start,Mon,4/13,15:48
user3,workstation5,workstation5,(v35.0),(licserver/7788,13492),start,Tue,4/14,1:48
user3,workstation5,workstation5,(v35.0),(licserver/7788,13492),start,Tue,4/14,1:48
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,1881),start,Tue,4/14,1:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,2496),start,Mon,4/13,15:22
user3,workstation5,workstation5,(v35.0),(licserver/7788,2496),start,Mon,4/13,15:22
user3,workstation5,workstation5,(v35.0),(licserver/7788,3014),start,Mon,4/13,23:20
user3,workstation5,workstation5,(v35.0),(licserver/7788,3014),start,Mon,4/13,23:20
user3,workstation5,workstation5,(v35.0),(licserver/7788,338),start,Mon,4/13,11:06
user3,workstation5,workstation5,(v35.0),(licserver/7788,338),start,Mon,4/13,11:06
user3,workstation5,workstation5,(v35.0),(licserver/7788,339),start,Mon,4/13,11:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,339),start,Mon,4/13,11:17
user3,workstation5,workstation5,(v35.0),(licserver/7788,4311),start,Tue,4/14,0:47
user3,workstation5,workstation5,(v35.0),(licserver/7788,4311),start,Tue,4/14,0:47
user3,workstation5,workstation5,(v35.0),(licserver/7788,4311),start,Tue,4/14,0:47
user3,workstation5,workstation5,(v35.0),(licserver/7788,4314),start,Tue,4/14,2:56
user3,workstation5,workstation5,(v35.0),(licserver/7788,4314),start,Tue,4/14,2:56
user3,workstation5,workstation5,(v35.0),(licserver/7788,5894),start,Mon,4/13,10:37
user3,workstation5,workstation5,(v35.0),(licserver/7788,5894),start,Mon,4/13,10:37
user3,workstation5,workstation5,(v35.0),(licserver/7788,6140),start,Mon,4/13,23:30
user3,workstation5,workstation5,(v35.0),(licserver/7788,6140),start,Mon,4/13,23:30
user3,workstation5,workstation5,(v35.0),(licserver/7788,644),start,Tue,4/14,6:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,644),start,Tue,4/14,6:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,644),start,Tue,4/14,6:05
user3,workstation5,workstation5,(v35.0),(licserver/7788,6746),start,Tue,4/14,4:30
user3,workstation5,workstation5,(v35.0),(licserver/7788,6746),start,Tue,4/14,4:30
user3,workstation5,workstation5,(v35.0),(licserver/7788,7137),start,Tue,4/14,3:31
user3,workstation5,workstation5,(v35.0),(licserver/7788,7137),start,Tue,4/14,3:31
user3,workstation5,workstation5,(v35.0),(licserver/7788,7137),start,Tue,4/14,3:31
user3,workstation5,workstation5,(v35.0),(licserver/7788,7346),start,Mon,4/13,12:34
user3,workstation5,workstation5,(v35.0),(licserver/7788,7346),start,Mon,4/13,12:34
user3,workstation5,workstation5,(v35.0),(licserver/7788,7346),start,Mon,4/13,12:34
user3,workstation5,workstation5,(v35.0),(licserver/7788,9188),start,Tue,4/14,8:10
user3,workstation5,workstation5,(v35.0),(licserver/7788,9188),start,Tue,4/14,8:10
user3,workstation5,workstation5,(v35.0),(licserver/7788,9188),start,Tue,4/14,8:10
user3,workstation6,workstation6,(v35.0),(licserver/7788,9923),start,Tue,4/14,7:49
user3,workstation6,workstation6,(v35.0),(licserver/7788,9923),start,Tue,4/14,7:49
